# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.050000000    0.005177523    0.005177523    0.005177523
    0.150000000    0.015583352    0.015583352    0.015583352
    0.250000000    0.026142923    0.026142923    0.026142923
    0.350000000    0.036963460    0.036963460    0.036963460
    0.450000000    0.048159557    0.048159557    0.048159557
    0.550000000    0.059856724    0.059856724    0.059856724
    0.650000000    0.072195583    0.072195583    0.072195583
    0.750000000    0.085337047    0.085337047    0.085337047
    0.850000000    0.099468858    0.099468858    0.099468858
    0.950000000    0.114814110    0.114814110    0.114814110
    1.050000000    0.131642575    0.131642575    0.131642575
    1.150000000    0.150286118    0.150286118    0.150286118
    1.250000000    0.171160138    0.171160138    0.171160138
    1.350000000    0.194794116    0.194794116    0.194794116
    1.450000000    0.221876229    0.221876229    0.221876229
    1.550000000    0.253320439    0.253320439    0.253320439
    1.650000000    0.290370746    0.290370746    0.290370746
    1.750000000    0.334769551    0.334769551    0.334769551
    1.850000000    0.389042443    0.389042443    0.389042443
    1.950000000    0.457008018    0.457008018    0.457008018
    2.050000000    0.544758186    0.544758186    0.544758186
    2.150000000    0.662728290    0.662728290    0.662728290
    2.250000000    0.830673117    0.830673117    0.830673117
    2.350000000    1.092194068    1.092194068    1.092194068
    2.450000000    1.573903407    1.573903407    1.573903407
    2.550000000    2.924795664    2.924795664    2.924795664
    2.650000000    6.454118877    6.454118877    6.454118878
    2.750000000   13.367899878   13.367899878   13.367899876
    2.850000000   21.578187382   21.578187381   21.578187377
    2.950000000   24.098904739   24.098904738   24.098904740
    3.050000000   25.183545728   25.183545729   25.183545729
    3.150000000   27.234647467   27.234647467   27.234647467
    3.250000000   27.584260026   27.584260026   27.584260025
    3.350000000   29.898044594   29.898044596   29.898044594
    3.450000000   33.035496436   33.035496439   33.035496437
    3.550000000   41.160114863   41.160114864   41.160114863
    3.650000000   52.532880018   52.532880019   52.532880018
    3.750000000   64.007440350   64.007440353   64.007440354
    3.850000000   59.054871365   59.054871368   59.054871366
    3.950000000   43.105599212   43.105599212   43.105599210
    4.050000000   35.435677405   35.435677407   35.435677405
    4.150000000   28.874185524   28.874185523   28.874185525
    4.250000000   26.260522388   26.260522389   26.260522389
    4.350000000   22.413511271   22.413511271   22.413511271
    4.450000000   23.777706939   23.777706940   23.777706939
    4.550000000   24.342645194   24.342645194   24.342645195
    4.650000000   21.012679265   21.012679266   21.012679265
    4.750000000   19.931697675   19.931697675   19.931697675
    4.850000000   17.350071726   17.350071726   17.350071726
    4.950000000   14.499432209   14.499432208   14.499432209
    5.050000000   14.813636830   14.813636829   14.813636829
    5.150000000   14.334496413   14.334496414   14.334496414
    5.250000000   11.825487722   11.825487723   11.825487723
    5.350000000   11.209646417   11.209646416   11.209646417
    5.450000000   11.172038536   11.172038536   11.172038537
    5.550000000   10.089216727   10.089216727   10.089216727
    5.650000000    8.428014091    8.428014091    8.428014090
    5.750000000    8.246292606    8.246292606    8.246292606
    5.850000000    8.766395512    8.766395512    8.766395512
    5.950000000    7.047828230    7.047828230    7.047828231
    6.050000000    6.059255312    6.059255312    6.059255312
    6.150000000    6.814075180    6.814075180    6.814075179
    6.250000000    6.207244190    6.207244190    6.207244189
    6.350000000    5.032875075    5.032875075    5.032875075
    6.450000000    4.766494937    4.766494937    4.766494937
    6.550000000    5.343342734    5.343342734    5.343342734
    6.650000000    4.677513109    4.677513109    4.677513109
    6.750000000    4.122349012    4.122349013    4.122349012
    6.850000000    4.266844343    4.266844343    4.266844343
    6.950000000    4.510929274    4.510929274    4.510929274
    7.050000000    4.124112514    4.124112514    4.124112514
    7.150000000    3.783554279    3.783554279    3.783554279
    7.250000000    3.792034934    3.792034934    3.792034934
    7.350000000    3.778565028    3.778565028    3.778565028
    7.450000000    3.420440533    3.420440533    3.420440533
    7.550000000    2.990974904    2.990974904    2.990974904
    7.650000000    2.910060644    2.910060644    2.910060644
    7.750000000    3.247669723    3.247669723    3.247669723
    7.850000000    2.782678988    2.782678988    2.782678988
    7.950000000    2.550830743    2.550830743    2.550830743
    8.050000000    2.576825870    2.576825869    2.576825870
    8.150000000    2.564487621    2.564487621    2.564487621
    8.250000000    2.316671974    2.316671974    2.316671974
    8.350000000    2.150053785    2.150053785    2.150053785
    8.450000000    2.104387507    2.104387507    2.104387507
    8.550000000    2.092042204    2.092042205    2.092042205
    8.650000000    1.961773417    1.961773417    1.961773417
    8.750000000    1.765056179    1.765056179    1.765056179
    8.850000000    1.704419367    1.704419366    1.704419367
    8.950000000    1.650246022    1.650246022    1.650246022
    9.050000000    1.594191726    1.594191726    1.594191726
    9.150000000    1.482190465    1.482190465    1.482190465
    9.250000000    1.408715161    1.408715161    1.408715161
    9.350000000    1.350817242    1.350817242    1.350817243
    9.450000000    1.364629485    1.364629485    1.364629485
    9.550000000    1.267810153    1.267810153    1.267810153
    9.650000000    1.197600992    1.197600991    1.197600991
    9.750000000    1.166471079    1.166471079    1.166471079
    9.850000000    1.138428678    1.138428677    1.138428678
    9.950000000    1.095903588    1.095903588    1.095903588
   10.050000000    1.039175402    1.039175402    1.039175402
   10.150000000    1.034743206    1.034743206    1.034743206
   10.250000000    0.983771372    0.983771372    0.983771371
   10.350000000    0.963771471    0.963771471    0.963771471
   10.450000000    0.934330746    0.934330746    0.934330746
   10.550000000    0.871402449    0.871402449    0.871402449
   10.650000000    0.818427570    0.818427570    0.818427570
   10.750000000    0.869542133    0.869542132    0.869542132
   10.850000000    0.804618814    0.804618814    0.804618814
   10.950000000    0.752044927    0.752044927    0.752044927
   11.050000000    0.742574576    0.742574576    0.742574576
   11.150000000    0.741108162    0.741108162    0.741108162
   11.250000000    0.712221537    0.712221537    0.712221537
   11.350000000    0.681008879    0.681008879    0.681008879
   11.450000000    0.656700664    0.656700664    0.656700664
   11.550000000    0.667325324    0.667325324    0.667325324
   11.650000000    0.651587412    0.651587412    0.651587412
   11.750000000    0.629757495    0.629757495    0.629757495
   11.850000000    0.612662883    0.612662883    0.612662883
   11.950000000    0.590687094    0.590687094    0.590687094
   12.050000000    0.578461519    0.578461519    0.578461519
   12.150000000    0.531864428    0.531864428    0.531864428
   12.250000000    0.521164156    0.521164155    0.521164155
   12.350000000    0.512054244    0.512054243    0.512054244
   12.450000000    0.487391637    0.487391637    0.487391637
   12.550000000    0.491298840    0.491298840    0.491298840
   12.650000000    0.476717864    0.476717864    0.476717864
   12.750000000    0.456745882    0.456745882    0.456745882
   12.850000000    0.468950954    0.468950954    0.468950954
   12.950000000    0.454634900    0.454634899    0.454634900
   13.050000000    0.441806964    0.441806964    0.441806964
   13.150000000    0.416897579    0.416897579    0.416897579
   13.250000000    0.418940222    0.418940222    0.418940222
   13.350000000    0.407421232    0.407421232    0.407421232
   13.450000000    0.403713867    0.403713867    0.403713867
   13.550000000    0.391560824    0.391560824    0.391560824
   13.650000000    0.373401159    0.373401159    0.373401159
   13.750000000    0.373640286    0.373640285    0.373640285
   13.850000000    0.372812144    0.372812144    0.372812144
   13.950000000    0.354837607    0.354837607    0.354837607
   14.050000000    0.346384944    0.346384944    0.346384944
   14.150000000    0.341374324    0.341374324    0.341374324
   14.250000000    0.337754211    0.337754212    0.337754211
   14.350000000    0.329033005    0.329033006    0.329033005
   14.450000000    0.335609488    0.335609488    0.335609488
   14.550000000    0.335982644    0.335982644    0.335982644
   14.650000000    0.332086068    0.332086068    0.332086068
   14.750000000    0.311452953    0.311452953    0.311452954
   14.850000000    0.314755891    0.314755891    0.314755891
   14.950000000    0.301668057    0.301668057    0.301668057
   15.050000000    0.292713575    0.292713575    0.292713575
   15.150000000    0.283232230    0.283232230    0.283232230
   15.250000000    0.275253909    0.275253909    0.275253909
   15.350000000    0.266553252    0.266553252    0.266553252
   15.450000000    0.265306956    0.265306956    0.265306956
   15.550000000    0.250494931    0.250494931    0.250494931
   15.650000000    0.245467185    0.245467185    0.245467185
