# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.050000000   15.926957228   15.926957216   15.926957221
    0.150000000   15.947684171   15.947684159   15.947684164
    0.250000000   15.989341648   15.989341635   15.989341640
    0.350000000   16.052342446   16.052342433   16.052342438
    0.450000000   16.137320072   16.137320060   16.137320065
    0.550000000   16.245146863   16.245146851   16.245146856
    0.650000000   16.376959745   16.376959732   16.376959737
    0.750000000   16.534195251   16.534195238   16.534195243
    0.850000000   16.718636098   16.718636085   16.718636090
    0.950000000   16.932472590   16.932472578   16.932472583
    1.050000000   17.178383524   17.178383512   17.178383517
    1.150000000   17.459643323   17.459643311   17.459643316
    1.250000000   17.780265222   17.780265210   17.780265215
    1.350000000   18.145195160   18.145195148   18.145195153
    1.450000000   18.560578710   18.560578698   18.560578702
    1.550000000   19.034136093   19.034136081   19.034136086
    1.650000000   19.575702053   19.575702041   19.575702046
    1.750000000   20.198026168   20.198026156   20.198026161
    1.850000000   20.918002041   20.918002028   20.918002033
    1.950000000   21.758638937   21.758638924   21.758638929
    2.050000000   22.752400532   22.752400520   22.752400525
    2.150000000   23.947265972   23.947265960   23.947265965
    2.250000000   25.418798203   25.418798190   25.418798195
    2.350000000   27.297448494   27.297448481   27.297448486
    2.450000000   29.841946794   29.841946781   29.841946786
    2.550000000   33.572171421   33.572171408   33.572171413
    2.650000000   37.518330402   37.518330390   37.518330394
    2.750000000   41.697085809   41.697085797   41.697085799
    2.850000000   36.900462355   36.900462341   36.900462349
    2.950000000   33.498383543   33.498383530   33.498383537
    3.050000000   31.302588674   31.302588663   31.302588668
    3.150000000   29.763413295   29.763413285   29.763413288
    3.250000000   28.829120467   28.829120455   28.829120460
    3.350000000   29.799861396   29.799861384   29.799861390
    3.450000000   30.261399408   30.261399395   30.261399401
    3.550000000   33.551839626   33.551839614   33.551839619
    3.650000000   27.121424881   27.121424869   27.121424875
    3.750000000   14.173740932   14.173740918   14.173740925
    3.850000000   -9.044110298   -9.044110312   -9.044110309
    3.950000000  -18.101871272  -18.101871286  -18.101871280
    4.050000000  -15.448472206  -15.448472220  -15.448472213
    4.150000000  -14.310414207  -14.310414220  -14.310414213
    4.250000000  -13.148303770  -13.148303784  -13.148303779
    4.350000000  -10.664656489  -10.664656503  -10.664656497
    4.450000000   -9.530423870   -9.530423883   -9.530423878
    4.550000000  -11.285437301  -11.285437314  -11.285437309
    4.650000000  -12.619477827  -12.619477841  -12.619477835
    4.750000000  -13.453118224  -13.453118238  -13.453118232
    4.850000000  -13.543881992  -13.543882006  -13.543882000
    4.950000000  -12.870274480  -12.870274494  -12.870274488
    5.050000000  -10.832452916  -10.832452930  -10.832452924
    5.150000000  -12.202206012  -12.202206025  -12.202206020
    5.250000000  -12.155129541  -12.155129555  -12.155129549
    5.350000000  -10.832928997  -10.832929011  -10.832929005
    5.450000000  -10.827370143  -10.827370156  -10.827370151
    5.550000000  -11.308796872  -11.308796886  -11.308796880
    5.650000000  -10.459889931  -10.459889944  -10.459889939
    5.750000000   -9.104558647   -9.104558660   -9.104558654
    5.850000000   -9.857475109   -9.857475123   -9.857475117
    5.950000000  -10.122583434  -10.122583447  -10.122583442
    6.050000000   -8.700858947   -8.700858960   -8.700858955
    6.150000000   -7.817357121   -7.817357135   -7.817357130
    6.250000000   -8.785610295   -8.785610309   -8.785610303
    6.350000000   -8.239256583   -8.239256596   -8.239256591
    6.450000000   -7.179339606   -7.179339619   -7.179339614
    6.550000000   -7.039315294   -7.039315307   -7.039315301
    6.650000000   -7.138143137   -7.138143151   -7.138143145
    6.750000000   -6.640387198   -6.640387212   -6.640387206
    6.850000000   -5.908358586   -5.908358600   -5.908358593
    6.950000000   -6.112269652   -6.112269666   -6.112269660
    7.050000000   -6.182076134   -6.182076148   -6.182076142
    7.150000000   -5.823299649   -5.823299663   -5.823299657
    7.250000000   -5.523559273   -5.523559287   -5.523559280
    7.350000000   -5.617020601   -5.617020615   -5.617020609
    7.450000000   -5.702213522   -5.702213537   -5.702213531
    7.550000000   -5.345636728   -5.345636742   -5.345636736
    7.650000000   -4.864258820   -4.864258834   -4.864258828
    7.750000000   -4.951837891   -4.951837905   -4.951837899
    7.850000000   -5.003960950   -5.003960964   -5.003960958
    7.950000000   -4.690230291   -4.690230305   -4.690230299
    8.050000000   -4.482271500   -4.482271514   -4.482271509
    8.150000000   -4.532730384   -4.532730398   -4.532730392
    8.250000000   -4.411312931   -4.411312945   -4.411312940
    8.350000000   -4.227787054   -4.227787067   -4.227787061
    8.450000000   -4.039541893   -4.039541907   -4.039541901
