# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.050000000   15.878330679   15.878330679   15.878330679
    0.150000000   15.849639523   15.849639523   15.849639523
    0.250000000   15.798884978   15.798884978   15.798884978
    0.350000000   15.728083361   15.728083361   15.728083361
    0.450000000   15.638113896   15.638113896   15.638113896
    0.550000000   15.529850402   15.529850402   15.529850402
    0.650000000   15.404275824   15.404275824   15.404275824
    0.750000000   15.262482079   15.262482079   15.262482079
    0.850000000   15.105651491   15.105651491   15.105651491
    0.950000000   14.935034038   14.935034038   14.935034038
    1.050000000   14.751924016   14.751924016   14.751924016
    1.150000000   14.557637585   14.557637585   14.557637585
    1.250000000   14.353492025   14.353492025   14.353492025
    1.350000000   14.140787222   14.140787222   14.140787222
    1.450000000   13.920789662   13.920789663   13.920789662
    1.550000000   13.694719092   13.694719092   13.694719092
    1.650000000   13.463737804   13.463737805   13.463737804
    1.750000000   13.228942483   13.228942483   13.228942483
    1.850000000   12.991358382   12.991358382   12.991358382
    1.950000000   12.751935635   12.751935636   12.751935635
    2.050000000   12.511547411   12.511547411   12.511547411
    2.150000000   12.270989651   12.270989652   12.270989651
    2.250000000   12.030982119   12.030982119   12.030982119
    2.350000000   11.792170496   11.792170496   11.792170496
    2.450000000   11.555129301   11.555129301   11.555129301
    2.550000000   11.320365416   11.320365416   11.320365416
    2.650000000   11.088322032   11.088322032   11.088322032
    2.750000000   10.859382869   10.859382869   10.859382869
    2.850000000   10.633876526   10.633876526   10.633876526
    2.950000000   10.412080872   10.412080872   10.412080872
    3.050000000   10.194227374   10.194227374   10.194227374
    3.150000000    9.980505315    9.980505315    9.980505315
    3.250000000    9.771065838    9.771065838    9.771065838
    3.350000000    9.566025792    9.566025792    9.566025792
    3.450000000    9.365471353    9.365471353    9.365471353
    3.550000000    9.169461404    9.169461404    9.169461404
    3.650000000    8.978030668    8.978030668    8.978030668
    3.750000000    8.791192600    8.791192600    8.791192600
    3.850000000    8.608942038    8.608942038    8.608942038
    3.950000000    8.431257617    8.431257617    8.431257617
    4.050000000    8.258103963    8.258103963    8.258103963
    4.150000000    8.089433679    8.089433679    8.089433679
    4.250000000    7.925189127    7.925189127    7.925189127
    4.350000000    7.765304034    7.765304034    7.765304034
    4.450000000    7.609704925    7.609704925    7.609704925
    4.550000000    7.458312393    7.458312393    7.458312393
    4.650000000    7.311042238    7.311042238    7.311042238
    4.750000000    7.167806463    7.167806463    7.167806463
    4.850000000    7.028514162    7.028514162    7.028514162
    4.950000000    6.893072291    6.893072291    6.893072291
    5.050000000    6.761386350    6.761386350    6.761386350
    5.150000000    6.633360971    6.633360971    6.633360971
    5.250000000    6.508900433    6.508900433    6.508900433
    5.350000000    6.387909104    6.387909104    6.387909104
    5.450000000    6.270291822    6.270291822    6.270291822
    5.550000000    6.155954219    6.155954219    6.155954219
    5.650000000    6.044803000    6.044803000    6.044803000
    5.750000000    5.936746167    5.936746167    5.936746167
    5.850000000    5.831693220    5.831693220    5.831693220
    5.950000000    5.729555314    5.729555314    5.729555314
    6.050000000    5.630245382    5.630245382    5.630245382
    6.150000000    5.533678248    5.533678248    5.533678248
    6.250000000    5.439770698    5.439770698    5.439770698
    6.350000000    5.348441541    5.348441541    5.348441541
    6.450000000    5.259611656    5.259611656    5.259611656
    6.550000000    5.173204014    5.173204014    5.173204014
    6.650000000    5.089143691    5.089143691    5.089143691
    6.750000000    5.007357877    5.007357877    5.007357877
    6.850000000    4.927775860    4.927775861    4.927775860
    6.950000000    4.850329020    4.850329020    4.850329020
    7.050000000    4.774950798    4.774950798    4.774950798
    7.150000000    4.701576675    4.701576675    4.701576675
    7.250000000    4.630144135    4.630144135    4.630144135
    7.350000000    4.560592629    4.560592629    4.560592629
    7.450000000    4.492863537    4.492863537    4.492863537
    7.550000000    4.426900123    4.426900123    4.426900123
    7.650000000    4.362647491    4.362647491    4.362647491
    7.750000000    4.300052538    4.300052538    4.300052538
    7.850000000    4.239063911    4.239063911    4.239063911
    7.950000000    4.179631952    4.179631952    4.179631952
    8.050000000    4.121708656    4.121708656    4.121708656
    8.150000000    4.065247620    4.065247620    4.065247620
    8.250000000    4.010203996    4.010203996    4.010203996
    8.350000000    3.956534440    3.956534440    3.956534440
    8.450000000    3.904197069    3.904197069    3.904197069
    8.550000000    3.853151411    3.853151411    3.853151411
    8.650000000    3.803358361    3.803358361    3.803358361
    8.750000000    3.754780136    3.754780136    3.754780136
    8.850000000    3.707380228    3.707380228    3.707380228
    8.950000000    3.661123364    3.661123364    3.661123364
    9.050000000    3.615975464    3.615975464    3.615975464
    9.150000000    3.571903597    3.571903597    3.571903597
    9.250000000    3.528875945    3.528875945    3.528875945
    9.350000000    3.486861759    3.486861759    3.486861759
    9.450000000    3.445831329    3.445831329    3.445831329
    9.550000000    3.405755940    3.405755940    3.405755940
    9.650000000    3.366607841    3.366607841    3.366607841
    9.750000000    3.328360211    3.328360211    3.328360211
    9.850000000    3.290987121    3.290987121    3.290987121
    9.950000000    3.254463510    3.254463510    3.254463510
   10.050000000    3.218765146    3.218765146    3.218765146
   10.150000000    3.183868602    3.183868602    3.183868602
   10.250000000    3.149751224    3.149751224    3.149751224
   10.350000000    3.116391105    3.116391105    3.116391105
   10.450000000    3.083767058    3.083767058    3.083767058
   10.550000000    3.051858587    3.051858587    3.051858587
   10.650000000    3.020645868    3.020645868    3.020645868
   10.750000000    2.990109718    2.990109718    2.990109718
   10.850000000    2.960231579    2.960231579    2.960231579
   10.950000000    2.930993491    2.930993491    2.930993491
   11.050000000    2.902378069    2.902378069    2.902378069
   11.150000000    2.874368490    2.874368490    2.874368490
   11.250000000    2.846948464    2.846948464    2.846948464
   11.350000000    2.820102222    2.820102222    2.820102222
   11.450000000    2.793814492    2.793814492    2.793814492
   11.550000000    2.768070485    2.768070485    2.768070485
   11.650000000    2.742855878    2.742855878    2.742855878
   11.750000000    2.718156795    2.718156795    2.718156795
   11.850000000    2.693959792    2.693959792    2.693959792
   11.950000000    2.670251844    2.670251844    2.670251844
   12.050000000    2.647020327    2.647020327    2.647020327
   12.150000000    2.624253007    2.624253007    2.624253007
   12.250000000    2.601938023    2.601938023    2.601938023
   12.350000000    2.580063878    2.580063878    2.580063878
   12.450000000    2.558619423    2.558619423    2.558619423
   12.550000000    2.537593849    2.537593849    2.537593849
   12.650000000    2.516976668    2.516976668    2.516976668
   12.750000000    2.496757711    2.496757711    2.496757711
   12.850000000    2.476927110    2.476927110    2.476927110
   12.950000000    2.457475291    2.457475291    2.457475291
   13.050000000    2.438392964    2.438392964    2.438392964
   13.150000000    2.419671113    2.419671113    2.419671113
   13.250000000    2.401300985    2.401300985    2.401300985
   13.350000000    2.383274084    2.383274084    2.383274084
   13.450000000    2.365582161    2.365582161    2.365582161
   13.550000000    2.348217204    2.348217204    2.348217204
   13.650000000    2.331171434    2.331171434    2.331171434
   13.750000000    2.314437295    2.314437295    2.314437295
   13.850000000    2.298007445    2.298007445    2.298007445
   13.950000000    2.281874752    2.281874752    2.281874752
   14.050000000    2.266032287    2.266032287    2.266032287
   14.150000000    2.250473314    2.250473314    2.250473314
   14.250000000    2.235191287    2.235191287    2.235191287
   14.350000000    2.220179842    2.220179842    2.220179842
   14.450000000    2.205432794    2.205432794    2.205432794
   14.550000000    2.190944126    2.190944126    2.190944126
   14.650000000    2.176707990    2.176707990    2.176707990
   14.750000000    2.162718696    2.162718696    2.162718696
   14.850000000    2.148970710    2.148970710    2.148970710
   14.950000000    2.135458649    2.135458649    2.135458649
   15.050000000    2.122177274    2.122177274    2.122177274
   15.150000000    2.109121490    2.109121490    2.109121490
   15.250000000    2.096286335    2.096286335    2.096286335
   15.350000000    2.083666983    2.083666983    2.083666983
   15.450000000    2.071258733    2.071258733    2.071258733
   15.550000000    2.059057011    2.059057011    2.059057011
   15.650000000    2.047057362    2.047057362    2.047057362
   15.750000000    2.035255448    2.035255448    2.035255448
   15.850000000    2.023647044    2.023647044    2.023647044
   15.950000000    2.012228036    2.012228036    2.012228036
   16.050000000    2.000994415    2.000994415    2.000994415
   16.150000000    1.989942276    1.989942276    1.989942276
   16.250000000    1.979067813    1.979067813    1.979067813
   16.350000000    1.968367320    1.968367320    1.968367320
   16.450000000    1.957837183    1.957837183    1.957837183
   16.550000000    1.947473879    1.947473879    1.947473879
   16.650000000    1.937273974    1.937273974    1.937273974
   16.750000000    1.927234123    1.927234123    1.927234123
   16.850000000    1.917351060    1.917351060    1.917351060
   16.950000000    1.907621604    1.907621604    1.907621604
   17.050000000    1.898042650    1.898042650    1.898042650
   17.150000000    1.888611172    1.888611172    1.888611172
   17.250000000    1.879324216    1.879324216    1.879324216
   17.350000000    1.870178903    1.870178903    1.870178903
   17.450000000    1.861172420    1.861172420    1.861172420
   17.550000000    1.852302027    1.852302027    1.852302027
   17.650000000    1.843565046    1.843565046    1.843565046
   17.750000000    1.834958865    1.834958865    1.834958865
   17.850000000    1.826480935    1.826480935    1.826480935
   17.950000000    1.818128767    1.818128767    1.818128767
   18.050000000    1.809899932    1.809899932    1.809899932
   18.150000000    1.801792056    1.801792056    1.801792056
   18.250000000    1.793802824    1.793802824    1.793802824
   18.350000000    1.785929973    1.785929973    1.785929973
   18.450000000    1.778171293    1.778171293    1.778171293
   18.550000000    1.770524627    1.770524627    1.770524627
   18.650000000    1.762987867    1.762987867    1.762987867
   18.750000000    1.755558951    1.755558951    1.755558951
   18.850000000    1.748235869    1.748235869    1.748235869
   18.950000000    1.741016653    1.741016653    1.741016653
   19.050000000    1.733899382    1.733899382    1.733899382
   19.150000000    1.726882177    1.726882177    1.726882177
   19.250000000    1.719963204    1.719963204    1.719963204
   19.350000000    1.713140667    1.713140667    1.713140667
   19.450000000    1.706412812    1.706412812    1.706412812
   19.550000000    1.699777923    1.699777923    1.699777923
   19.650000000    1.693234324    1.693234324    1.693234324
   19.750000000    1.686780375    1.686780375    1.686780375
   19.850000000    1.680414471    1.680414471    1.680414471
   19.950000000    1.674135044    1.674135044    1.674135044
   20.050000000    1.667940560    1.667940560    1.667940560
