# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.050000000    0.056633399    0.056633400    0.000013491
    0.060000000    0.068552717    0.068552717    0.000016190
    0.070000000    0.080808157    0.080808158    0.000018888
    0.080000000    0.093466920    0.093466921    0.000021587
    0.090000000    0.106601879    0.106601880    0.000024286
    0.100000000    0.120292797    0.120292798    0.000026985
    0.110000000    0.134627728    0.134627729    0.000029684
    0.120000000    0.149704667    0.149704668    0.000032384
    0.130000000    0.165633491    0.165633493    0.000035084
    0.140000000    0.182538288    0.182538290    0.000037784
    0.150000000    0.200560139    0.200560141    0.000040484
    0.160000000    0.219860502    0.219860504    0.000043185
    0.170000000    0.240625324    0.240625326    0.000045886
    0.180000000    0.263070095    0.263070097    0.000048587
    0.190000000    0.287446095    0.287446098    0.000051289
    0.200000000    0.314048160    0.314048163    0.000053991
    0.210000000    0.343224419    0.343224422    0.000056693
    0.220000000    0.375388573    0.375388577    0.000059396
    0.230000000    0.411035517    0.411035521    0.000062100
    0.240000000    0.450761330    0.450761335    0.000064803
    0.250000000    0.495289094    0.495289098    0.000067508
    0.260000000    0.545502473    0.545502478    0.000070213
    0.270000000    0.602489778    0.602489784    0.000072918
    0.280000000    0.667602233    0.667602239    0.000075624
    0.290000000    0.742531691    0.742531698    0.000078331
    0.300000000    0.829415104    0.829415112    0.000081038
    0.310000000    0.930975997    0.930976005    0.000083745
    0.320000000    1.050717236    1.050717246    0.000086454
    0.330000000    1.193184751    1.193184762    0.000089163
    0.340000000    1.364328347    1.364328358    0.000091872
    0.350000000    1.571992067    1.571992080    0.000094583
    0.360000000    1.826567727    1.826567741    0.000097294
    0.370000000    2.141827275    2.141827291    0.000100006
    0.380000000    2.535875428    2.535875445    0.000102718
    0.390000000    3.031941986    3.031942005    0.000105432
    0.400000000    3.658156184    3.658156206    0.000108146
    0.410000000    4.444115222    4.444115248    0.000110861
    0.420000000    5.409514213    5.409514246    0.000113577
    0.430000000    6.537129746    6.537129795    0.000116294
    0.440000000    7.725844084    7.725844162    0.000119011
    0.450000000    8.747708947    8.747709074    0.000121730
    0.460000000    9.289479361    9.289479548    0.000124449
    0.470000000    9.138805776    9.138806016    0.000127170
    0.480000000    8.364011190    8.364011450    0.000129891
    0.490000000    7.252480895    7.252481142    0.000132614
    0.500000000    6.093841454    6.093841667    0.000135337
    0.510000000    5.056596990    5.056597164    0.000138062
    0.520000000    4.197494992    4.197495130    0.000140787
    0.530000000    3.512682041    3.512682148    0.000143514
    0.540000000    2.976090343    2.976090424    0.000146241
    0.550000000    2.558356434    2.558356494    0.000148970
    0.560000000    2.233822830    2.233822872    0.000151700
    0.570000000    1.982138769    1.982138796    0.000154431
    0.580000000    1.787883293    1.787883307    0.000157163
    0.590000000    1.639673337    1.639673337    0.000159897
    0.600000000    1.529292530    1.529292517    0.000162631
    0.610000000    1.450997354    1.450997328    0.000165367
    0.620000000    1.401020477    1.401020436    0.000168105
    0.630000000    1.377251339    1.377251282    0.000170843
    0.640000000    1.379069767    1.379069689    0.000173583
    0.650000000    1.407314387    1.407314284    0.000176324
    0.660000000    1.464372218    1.464372083    0.000179067
    0.670000000    1.554368185    1.554368010    0.000181810
    0.680000000    1.683392515    1.683392289    0.000184556
    0.690000000    1.859582443    1.859582152    0.000187302
    0.700000000    2.092573061    2.092572691    0.000190050
    0.710000000    2.391196097    2.391195639    0.000192800
    0.720000000    2.757323877    2.757323339    0.000195551
    0.730000000    3.173534894    3.173534327    0.000198304
    0.740000000    3.587192782    3.587192300    0.000201058
    0.750000000    3.909113577    3.909113335    0.000203813
    0.760000000    4.055109019    4.055109126    0.000206570
    0.770000000    4.014201138    4.014201569    0.000209329
    0.780000000    3.863552423    3.863553058    0.000212090
    0.790000000    3.707915296    3.707916016    0.000214852
    0.800000000    3.618578195    3.618578925    0.000217615
    0.810000000    3.614503595    3.614504282    0.000220381
    0.820000000    3.667498464    3.667499047    0.000223148
    0.830000000    3.719429245    3.719429651    0.000225916
    0.840000000    3.719900653    3.719900845    0.000228687
    0.850000000    3.668626207    3.668626216    0.000231459
    0.860000000    3.616829905    3.616829803    0.000234233
    0.870000000    3.627462931    3.627462783    0.000237009
    0.880000000    3.740566815    3.740566656    0.000239787
    0.890000000    3.959190805    3.959190654    0.000242566
    0.900000000    4.239637552    4.239637421    0.000245348
    0.910000000    4.483950913    4.483950820    0.000248131
    0.920000000    4.564311748    4.564311706    0.000250916
    0.930000000    4.399763048    4.399763057    0.000253704
    0.940000000    4.021014793    4.021014835    0.000256493
    0.950000000    3.538608373    3.538608422    0.000259284
    0.960000000    3.058991058    3.058991098    0.000262077
    0.970000000    2.641509540    2.641509564    0.000264872
    0.980000000    2.304509525    2.304509529    0.000267669
    0.990000000    2.045044224    2.045044208    0.000270469
    1.000000000    1.853011688    1.853011653    0.000273270
    1.010000000    1.717995545    1.717995489    0.000276074
    1.020000000    1.631807773    1.631807693    0.000278879
    1.030000000    1.589155144    1.589155038    0.000281687
    1.040000000    1.587676902    1.587676763    0.000284497
    1.050000000    1.627872194    1.627872014    0.000287309
    1.060000000    1.713060474    1.713060243    0.000290124
    1.070000000    1.849267230    1.849266934    0.000292941
    1.080000000    2.044593057    2.044592683    0.000295760
    1.090000000    2.306991979    2.306991513    0.000298581
    1.100000000    2.638353245    2.638352692    0.000301405
    1.110000000    3.022186455    3.022185851    0.000304230
    1.120000000    3.406027496    3.406026939    0.000307059
    1.130000000    3.694635255    3.694634888    0.000309890
    1.140000000    3.785546700    3.785546638    0.000312723
    1.150000000    3.643209527    3.643209759    0.000315558
    1.160000000    3.331221962    3.331222370    0.000318396
    1.170000000    2.958030577    2.958031033    0.000321237
    1.180000000    2.608803939    2.608804367    0.000324080
    1.190000000    2.325328412    2.325328786    0.000326926
    1.200000000    2.119127179    2.119127500    0.000329774
    1.210000000    1.988344221    1.988344502    0.000332625
    1.220000000    1.927927264    1.927927522    0.000335478
    1.230000000    1.933723257    1.933723506    0.000338334
    1.240000000    2.002552979    2.002553231    0.000341193
    1.250000000    2.128855518    2.128855774    0.000344054
    1.260000000    2.297554542    2.297554787    0.000346918
    1.270000000    2.475328926    2.475329123    0.000349785
    1.280000000    2.611010409    2.611010504    0.000352654
    1.290000000    2.659830050    2.659830014    0.000355527
    1.300000000    2.619505186    2.619505036    0.000358402
    1.310000000    2.534762214    2.534761995    0.000361280
    1.320000000    2.463784573    2.463784327    0.000364160
    1.330000000    2.448450568    2.448450316    0.000367044
    1.340000000    2.507459695    2.507459440    0.000369931
    1.350000000    2.638319797    2.638319537    0.000372820
    1.360000000    2.815564783    2.815564517    0.000375712
    1.370000000    2.988957324    2.988957057    0.000378608
    1.380000000    3.099289283    3.099289019    0.000381506
    1.390000000    3.116783820    3.116783553    0.000384407
    1.400000000    3.062995398    3.062995121    0.000387312
    1.410000000    2.981551956    2.981551680    0.000390219
    1.420000000    2.892725067    2.892724837    0.000393130
    1.430000000    2.782735183    2.782735053    0.000396044
    1.440000000    2.632763354    2.632763341    0.000398960
    1.450000000    2.451236400    2.451236466    0.000401880
    1.460000000    2.272221121    2.272221204    0.000404804
    1.470000000    2.130928169    2.130928220    0.000407730
    1.480000000    2.049089549    2.049089540    0.000410660
    1.490000000    2.035671642    2.035671564    0.000413593
    1.500000000    2.090995679    2.090995532    0.000416529
    1.510000000    2.206107117    2.206106917    0.000419468
    1.520000000    2.355806357    2.355806144    0.000422411
    1.530000000    2.491035990    2.491035831    0.000425357
    1.540000000    2.547182072    2.547182038    0.000428307
    1.550000000    2.480381184    2.480381297    0.000431260
    1.560000000    2.302349730    2.302349946    0.000434217
    1.570000000    2.068031036    2.068031288    0.000437177
    1.580000000    1.833155337    1.833155574    0.000440140
    1.590000000    1.630200427    1.630200626    0.000443107
    1.600000000    1.470254039    1.470254195    0.000446078
    1.610000000    1.353008815    1.353008934    0.000449052
    1.620000000    1.274282353    1.274282440    0.000452030
    1.630000000    1.229778669    1.229778730    0.000455011
    1.640000000    1.216572860    1.216572899    0.000457996
    1.650000000    1.233593122    1.233593142    0.000460985
    1.660000000    1.281760509    1.281760512    0.000463977
    1.670000000    1.364031006    1.364030991    0.000466973
    1.680000000    1.485315711    1.485315677    0.000469973
    1.690000000    1.651988171    1.651988114    0.000472977
    1.700000000    1.870339329    1.870339240    0.000475985
    1.710000000    2.143086035    2.143085901    0.000478996
    1.720000000    2.463587631    2.463587437    0.000482011
    1.730000000    2.809167277    2.809167022    0.000485030
    1.740000000    3.135733536    3.135733257    0.000488054
    1.750000000    3.377429585    3.377429356    0.000491081
    1.760000000    3.466771324    3.466771218    0.000494112
    1.770000000    3.382735783    3.382735811    0.000497147
    1.780000000    3.177515088    3.177515203    0.000500186
    1.790000000    2.938661372    2.938661510    0.000503229
    1.800000000    2.732549371    2.732549491    0.000506276
    1.810000000    2.580919326    2.580919416    0.000509327
    1.820000000    2.466126544    2.466126612    0.000512383
    1.830000000    2.350479436    2.350479494    0.000515443
    1.840000000    2.205680886    2.205680940    0.000518507
    1.850000000    2.034553300    2.034553346    0.000521575
    1.860000000    1.863554066    1.863554093    0.000524647
    1.870000000    1.719836995    1.719836995    0.000527724
    1.880000000    1.619286258    1.619286226    0.000530805
    1.890000000    1.567949939    1.567949870    0.000533890
    1.900000000    1.566847244    1.566847138    0.000536980
    1.910000000    1.614258660    1.614258515    0.000540074
    1.920000000    1.704074021    1.704073844    0.000543172
    1.930000000    1.820616477    1.820616288    0.000546275
    1.940000000    1.933944657    1.933944491    0.000549383
    1.950000000    2.006078020    2.006077910    0.000552495
    1.960000000    2.014255527    2.014255477    0.000555612
    1.970000000    1.970527950    1.970527930    0.000558733
    1.980000000    1.910319334    1.910319305    0.000561858
    1.990000000    1.863148846    1.863148793    0.000564989
    2.000000000    1.835357956    1.835357894    0.000568124
    2.010000000    1.811913162    1.811913126    0.000571264
    2.020000000    1.772801709    1.772801723    0.000574408
    2.030000000    1.713675232    1.713675285    0.000577558
    2.040000000    1.651149800    1.651149855    0.000580712
    2.050000000    1.609212116    1.609212137    0.000583870
    2.060000000    1.605451102    1.605451070    0.000587034
    2.070000000    1.646693255    1.646693165    0.000590203
    2.080000000    1.728072946    1.728072816    0.000593376
    2.090000000    1.829996116    1.829995985    0.000596555
    2.100000000    1.916667217    1.916667147    0.000599738
    2.110000000    1.948058617    1.948058658    0.000602927
    2.120000000    1.906970770    1.906970922    0.000606120
    2.130000000    1.813817181    1.813817400    0.000609319
    2.140000000    1.709026927    1.709027162    0.000612522
    2.150000000    1.626880258    1.626880476    0.000615731
    2.160000000    1.585842959    1.585843149    0.000618945
    2.170000000    1.591520390    1.591520550    0.000622164
    2.180000000    1.640635645    1.640635770    0.000625389
    2.190000000    1.722194910    1.722194991    0.000628618
    2.200000000    1.819062429    1.819062452    0.000631853
    2.210000000    1.914205401    1.914205356    0.000635093
    2.220000000    1.997996254    1.997996141    0.000638339
    2.230000000    2.069544522    2.069544346    0.000641590
    2.240000000    2.136424127    2.136423894    0.000644846
    2.250000000    2.214627750    2.214627466    0.000648108
    2.260000000    2.318750334    2.318750011    0.000651376
    2.270000000    2.445082801    2.445082465    0.000654648
    2.280000000    2.563285670    2.563285370    0.000657927
    2.290000000    2.627404195    2.627403992    0.000661211
    2.300000000    2.603987764    2.603987698    0.000664500
    2.310000000    2.497647813    2.497647866    0.000667796
    2.320000000    2.349234938    2.349235046    0.000671097
    2.330000000    2.206615868    2.206615972    0.000674403
    2.340000000    2.096831491    2.096831564    0.000677716
    2.350000000    2.017791158    2.017791207    0.000681034
    2.360000000    1.946466429    1.946466479    0.000684358
    2.370000000    1.858953250    1.858953316    0.000687688
    2.380000000    1.751297336    1.751297411    0.000691024
    2.390000000    1.641207548    1.641207609    0.000694365
    2.400000000    1.551928755    1.551928781    0.000697713
    2.410000000    1.499450159    1.499450137    0.000701067
    2.420000000    1.490605227    1.490605154    0.000704426
    2.430000000    1.524992749    1.524992628    0.000707792
    2.440000000    1.594619788    1.594619635    0.000711164
    2.450000000    1.681046164    1.681046008    0.000714542
    2.460000000    1.756073307    1.756073186    0.000717926
    2.470000000    1.794216644    1.794216581    0.000721316
    2.480000000    1.790627057    1.790627040    0.000724713
    2.490000000    1.761125667    1.761125672    0.000728116
    2.500000000    1.721961190    1.721961208    0.000731525
    2.510000000    1.676278932    1.676278971    0.000734941
    2.520000000    1.621767032    1.621767093    0.000738363
    2.530000000    1.564941932    1.564941995    0.000741791
    2.540000000    1.522115861    1.522115897    0.000745226
    2.550000000    1.509092011    1.509091999    0.000748667
    2.560000000    1.533137413    1.533137350    0.000752115
    2.570000000    1.589763642    1.589763545    0.000755570
    2.580000000    1.660727609    1.660727519    0.000759031
    2.590000000    1.716150263    1.716150232    0.000762498
    2.600000000    1.728821633    1.728821694    0.000765973
    2.610000000    1.695097744    1.695097883    0.000769454
    2.620000000    1.638385032    1.638385207    0.000772942
    2.630000000    1.590613595    1.590613766    0.000776436
    2.640000000    1.575209494    1.575209638    0.000779938
    2.650000000    1.603335857    1.603335965    0.000783446
    2.660000000    1.676200615    1.676200680    0.000786962
    2.670000000    1.786516022    1.786516032    0.000790484
    2.680000000    1.919707254    1.919707195    0.000794013
